Symbol,YTD_Return_Pct
ENPH,14.4
EMN,17.86
DPZ,-18.71
DVA,51.79
DRI,21.14
ZTS,-37.3
ZBH,12.78
ZBRA,48.41
YUM,2.63
XYL,-16.67
XEL,3.7
WYNN,-17.59
WTW,5.55
WMB,17.54
WY,4.42
WDC,144.95
WST,28.04
WELL,29.35
WFC,-10.48
WEC,2.15
WAT,7.52
WM,3.45
WBD,0.14
WMT,-7.45
WAB,38.06
GWW,31.49
WRB,-0.08
VMC,-5.13
VST,-17.34
V,7.73
VICI,-2.69
VTRS,34.07
VRTX,21.22
VZ,28.17
VRSK,-14.72
VRSN,18.25
VLTO,0.57
VTR,21.82
VLO,114.16
UHS,-19.19
UNH,17.54
URI,30.78
UPS,5.77
UAL,0.14
UNP,34.22
ULTA,-15.9
UDR,6.25
UBER,-4.9
USB,17.24
TSN,2.43
TYL,-19.53
TFC,4.5
TRMB,-23.08
TDG,-11.64
TT,14.46
TSCO,-30.31
TJX,-8.07
TMO,6.42
DIS,-2.9
TRV,28.49
SO,4.53
SHW,6.47
MOS,-0.62
KR,-6.45
KHC,8.57
SJM,32.62
HSY,4.5
HIG,0.16
EL,-3.84
COO,-6.03
CI,0.55
SCHW,11.66
ALL,25.83
TXT,-4.67
TXN,51.42
TSLA,-17.17
TER,81.17
TFX,14.33
TDY,22.63
TEL,-11.79
TGT,69.13
TRGP,62.51
TPR,1.41
TTWO,-4.76
TMUS,-7.35
TROW,9.46
SYY,17.45
SNPS,-17.18
SYF,-4.95
SMCI,20.28
SYK,-4.87
STE,-4.32
STLD,30.59
STT,46.68
SBUX,29.84
SWK,33.66
LUV,-1.38
SOLV,13.35
SNA,14.28
SWKS,6.42
SPG,21.34
NOW,-12.87
SRE,-6.29
STX,196.34
SLB,35.5
SBAC,-3.25
CRM,-17.11
SPGI,-10.66
RTX,13.32
RCL,4.17
ROST,31.34
ROP,-4.76
ROL,-36.74
ROK,10.73
RHI,71.6
RVTY,27.36
RMD,-4.65
RSG,5.59
RF,12.47
REGN,7.85
REG,14.08
O,12.58
RJF,7.87
RL,3.31
DGX,42.46
PWR,45.46
QCOM,-6.13
QRVO,10.77
PHM,8.8
PSA,27.22
PEG,-8.84
PTC,-9.07
PRU,9.31
PLD,11.57
PGR,3.47
PG,4.31
PFG,25.96
PPL,-0.55
PPG,10.92
POOL,-16.52
PNC,17.68
PNW,13.56
PSX,89.9
PM,19.45
PCG,8.8
PFE,17.23
PEP,2.85
PNR,-38.33
PYPL,6.54
PAYC,51.13
PAYX,18.53
PH,12.52
PARA,-94.63
PANW,99.51
PKG,21.24
PCAR,18.44
OTIS,-17.71
ORCL,-24.44
OKE,30.33
ON,30.88
OMC,9.89
ODFL,30.05
OXY,46.0
ORLY,-1.36
NXPI,2.81
NVR,-12.64
NVDA,13.84
NUE,44.66
NRG,-31.26
NCLH,-24.32
NOC,-5.2
NTRS,33.39
NSC,23.41
NDSN,38.66
NI,-1.73
NKE,-34.58
NEE,4.83
NWS,16.48
NWSA,16.48
NEM,30.56
NFLX,-12.53
NTAP,82.06
NDAQ,2.3
MSCI,0.8
MSI,26.81
MS,19.7
MCO,1.54
MNST,-37.25
MPWR,41.08
MDLZ,22.19
TAP,-7.38
MOH,12.23
MHK,24.39
MRNA,370.29
MAA,-2.26
MSFT,2.83
MU,206.68
MCHP,18.27
MGM,19.87
MTD,-1.14
MET,19.94
META,-15.3
MRK,45.41
MDT,-1.13
MCK,4.51
MCD,-9.55
MKC,-16.16
MTCH,31.03
MA,3.61
MAS,14.71
MLM,-15.46
MAR,14.39
MKTX,-7.86
MPC,120.97
